Modelo,Ano,Preço,KM,Estado
 Volvo V40 T4 KINETIC ,2019, R$ 116.799 ,35230,Rio de Janeiro
 Mitsubishi Eclipse Cross MIVEC TURBO HPE-S ,2019, R$ 130.299 ,19440,Rio de Janeiro
 Nissan Kicks START SV ,2021, R$ 101.999 ,18800,Rio de Janeiro
 Audi A5 TFSI SPORTBACK AMBIENTE ,2016, R$ 115.299 ,72156,Rio de Janeiro
 Land Rover Range Rover Evoque PURE TECH 4WD ,2012, R$ 101.799 ,58000,Rio de Janeiro
 Volkswagen Crossfox MI ,2014, R$ 46.299 ,84000,Rio de Janeiro
 Honda Hr-V TOURING ,2018, R$ 103.499 ,51750,Rio de Janeiro
 Chery Arrizo 6 GSX ,2021, R$ 105.799 ,8380,Rio de Janeiro
 Volkswagen Jetta 250 TSI TOTAL COMFORTLINE ,2018, R$ 102.299 ,44600,Rio de Janeiro
 Volkswagen Voyage MSI TOTAL ,2019, R$ 53.999 ,42400,Rio de Janeiro
 Chery Arrizo 6 Pro iFLEX ,2022, R$ 119.299 ,8000,Rio de Janeiro
 Jeep Compass SPORT ,2018, R$ 97.299 ,55696,Rio de Janeiro
 Nissan Kicks START UEFA CHAMPIONS LEAGUE ,2020, R$ 98.799 ,26000,Rio de Janeiro
 Audi Q3 TFSI AMBIENTE QUATTRO ,2014, R$ 94.299 ,57000,Rio de Janeiro
 Volvo XC60 D5 KINETIC AWD ,2017, R$ 138.999 ,29300,Rio de Janeiro
 Kia Rio EX ,2020, R$ 77.799 ,21100,Rio de Janeiro
 Mini Countryman S ALL4 TURBO ,2014, R$ 121.799 ,32000,Rio de Janeiro
 Mitsubishi ASX AWD ,2017, R$ 93.799 ,47000,Rio de Janeiro
 Chery Tiggo 5x VVT TURBO i T DCT ,2020, R$ 95.299 ,25600,Rio de Janeiro
 Fiat Mobi EVO  WAY ,2020, R$ 48.799 ,15600,Rio de Janeiro
 Volkswagen Spacefox MI SPORTLINE ,2013, R$ 39.799 ,88000,Rio de Janeiro
 Chery Tiggo 5x IFLEX T ,2021, R$ 93.299 ,24000,Rio de Janeiro
 Peugeot 208 ALLURE ,2021, R$ 85.299 ,13000,Rio de Janeiro
 Volkswagen Crossfox MI ,2014, R$ 45.999 ,90000,Rio de Janeiro
 Honda Hr-V EX ,2016, R$ 85.299 ,70000,Rio de Janeiro
 Chery Arrizo 6 GSX ,2021, R$ 104.799 ,24400,Rio de Janeiro
 Honda City EX ,2020, R$ 91.999 ,8853,Rio de Janeiro
 Volvo V40 T4 MOMENTUM ,2019, R$ 132.799 ,43200,Rio de Janeiro
 Fiat Argo FIREFLY TREKKING ,2020, R$ 68.299 ,23000,Rio de Janeiro
 Chery Tiggo 5x VVT TURBO i TXS DCT ,2020, R$ 105.499 ,37530,Rio de Janeiro
 Chery Tiggo 5x VVT TXS ,2021, R$ 108.999 ,22500,Rio de Janeiro
 Ford Eco Sport FREESTYLE ,2017, R$ 64.999 ,46360,Rio de Janeiro
 Ford Ka + SIGMA SE ,2018, R$ 47.999 ,54000,Rio de Janeiro
 Volkswagen Passat FSI CC V6 ,2014, R$ 111.499 ,86000,Rio de Janeiro
 Mitsubishi ASX GASOLINA MANUAL ,2013, R$ 60.299 ,92290,Rio de Janeiro
 Hyundai HB20S COMFORT PLUS ,2019, R$ 69.299 ,51703,Rio de Janeiro
 Honda Civic ONE EXL ,2017, R$ 101.299 ,70199,Rio de Janeiro
 Jeep Renegade SPORT ,2016, R$ 67.799 ,71500,Rio de Janeiro
 Honda Civic TURBO TOURING ,2017, R$ 119.799 ,45000,Rio de Janeiro
 Renault Captur SCE LIFE ,2018, R$ 76.299 ,68000,Rio de Janeiro
 Peugeot 2008 GRIFFE ,2016, R$ 58.999 ,83000,Rio de Janeiro
 Volkswagen Golf TSI HIGHLINE ,2015, R$ 79.999 ,85853,Rio de Janeiro
 Fiat Cronos E.TORQ PRECISION ,2019, R$ 72.799 ,25823,Rio de Janeiro
 Fiat Toro EVO ENDURANCE ,2020, R$ 93.799 ,42598,Rio de Janeiro
 Honda City EX ,2019, R$ 86.999 ,31306,Rio de Janeiro
 Fiat Cronos E.TORQ  DRIVE ,2020, R$ 74.799 ,18348,Rio de Janeiro
 Honda Civic ONE SPORT ,2019, R$ 100.799 ,33777,Rio de Janeiro
 Hyundai Creta PULSE PLUS ,2020, R$ 98.499 ,23235,Rio de Janeiro
 Nissan Kicks START SV ,2020, R$ 90.799 ,23330,Rio de Janeiro
 Volkswagen Tiguan TSI TURBO ,2012, R$ 58.799 ,92020,Rio de Janeiro
 Chevrolet Cruze LT SPORT6 ,2014, R$ 58.799 ,73030,Rio de Janeiro
 Nissan Kicks START S ,2018, R$ 80.799 ,36560,Rio de Janeiro
 Ford Eco Sport FREESTYLE ,2016, R$ 61.499 ,90460,Rio de Janeiro
 Hyundai HB20S COMFORT PLUS ,2019, R$ 65.999 ,54150,Rio de Janeiro
 Renault Captur HI-FLEX INTENSE ,2021, R$ 92.299 ,22100,Rio de Janeiro
 Fiat Mobi EVO  WAY ,2020, R$ 48.799 ,15010,Rio de Janeiro
 Jeep Compass LIMITED ,2017, R$ 102.299 ,100000,Rio de Janeiro
 Peugeot 2008 THP GRIFFE ,2016, R$ 62.299 ,109330,Rio de Janeiro
 Jeep Renegade SPORT ,2016, R$ 67.299 ,95120,Rio de Janeiro
 Chery Arrizo 6 GSX ,2021, R$ 105.799 ,9280,Rio de Janeiro
 Renault Duster SCE DYNAMIQUE ,2019, R$ 74.499 ,49760,Rio de Janeiro
 Chevrolet Cruze LTZ ,2012, R$ 49.799 ,107300,Rio de Janeiro
 Bmw 320i SPORT TURBO ACTIVE ,2015, R$ 110.999 ,47710,Rio de Janeiro
 Volkswagen Polo 200 TSI HIGHLINE ,2018, R$ 77.299 ,85800,Rio de Janeiro
 Chevrolet Cruze TURBO SPORT6 LTZ ,2018, R$ 93.299 ,50140,Rio de Janeiro
 Volvo XC60 T5 KINETIC ,2017, R$ 115.299 ,91631,Rio de Janeiro
 Jeep Compass SPORT ,2019, R$ 104.999 ,37060,Rio de Janeiro
 Ford Eco Sport SE ,2016, R$ 59.799 ,66000,Rio de Janeiro
 Jeep Renegade SPORT ,2021, R$ 88.999 ,19000,Rio de Janeiro
 Audi A3 TFSI SEDAN ATTRACTION ,2016, R$ 81.799 ,66740,Rio de Janeiro
 Jeep Renegade STD ,2018, R$ 73.299 ,47000,Rio de Janeiro
 Chevrolet Prisma MPFI LT ,2019, R$ 63.299 ,53130,Rio de Janeiro
 Kia Rio EX ,2020, R$ 77.299 ,34200,Rio de Janeiro
 Ford Eco Sport SE ,2015, R$ 56.799 ,77200,Rio de Janeiro
 Chevrolet Tracker TURBO LT ,2019, R$ 87.799 ,21000,Rio de Janeiro
 Nissan Kicks START SV ,2021, R$ 102.299 ,12500,Rio de Janeiro
 Honda City LX ,2018, R$ 77.499 ,36800,Rio de Janeiro
 Honda City EXL ,2020, R$ 94.999 ,25527,Rio de Janeiro
 Honda Civic CIVIC ONE EXL ,2020, R$ 124.499 ,39000,Rio de Janeiro
 Volkswagen Polo 200 TSI COMFORTLINE ,2018, R$ 71.999 ,71830,Rio de Janeiro
 Audi A4 TFSI ATTRACTION ,2017, R$ 110.499 ,74630,Rio de Janeiro
 Bmw X1 TURBO ACTIVE SDRIVE20I ,2018, R$ 153.799 ,71503,Rio de Janeiro
 Volkswagen Passat TSI BLUEMOTION HIGHLINE DSG ,2016, R$ 117.799 ,103629,Rio de Janeiro
 Hyundai HB20X PREMIUM ,2018, R$ 69.799 ,76999,Rio de Janeiro
 Chevrolet Tracker TURBO LT ,2018, R$ 83.799 ,50541,Rio de Janeiro
 Chevrolet Cruze TURBO LTZ ,2019, R$ 101.999 ,25000,Rio de Janeiro
 Mitsubishi ASX AUTOMATICO GASOLINA ,2015, R$ 74.499 ,68790,Rio de Janeiro
 Hyundai ix35 MPFI GL ,2018, R$ 93.299 ,66020,Rio de Janeiro
 Chevrolet Prisma MPFI LTZ ,2018, R$ 64.799 ,53000,Rio de Janeiro
 Volkswagen Jetta I VARIANT ,2011, R$ 49.799 ,97530,Rio de Janeiro
 Honda Civic TURBO TOURING ,2018, R$ 124.999 ,85330,Rio de Janeiro
 Peugeot 2008 ALLURE PACK ,2021, R$ 82.299 ,21000,Rio de Janeiro
 Chevrolet Cruze LT ,2013, R$ 53.499 ,90570,Rio de Janeiro
 Suzuki Vitara 4YOU ,2017, R$ 78.499 ,57040,Rio de Janeiro
 Chevrolet Cruze LT ,2015, R$ 62.999 ,88315,Rio de Janeiro
 Chevrolet S10 LT CD ,2018, R$ 127.999 ,74790,Rio de Janeiro
 Volkswagen Gol MI SPECIAL ,2016, R$ 40.499 ,31000,Rio de Janeiro
 Honda CRV VTC TURBO TOURING AWD ,2019, R$ 191.799 ,54380,Rio de Janeiro
 Chevrolet Cruze LTZ SPORT6 ,2014, R$ 66.999 ,70770,Rio de Janeiro
 Hyundai HB20X PREMIUM ,2019, R$ 75.499 ,28090,Rio de Janeiro
 Chevrolet Equinox TURBO LT ,2019, R$ 129.799 ,20117,Rio de Janeiro
 Volkswagen Polo MSI TOTAL ,2019, R$ 66.799 ,43522,Rio de Janeiro
 Volkswagen Polo 200 TSI HIGHLINE ,2019, R$ 82.799 ,46800,Rio de Janeiro
 Ford Focus TITANIUM ,2015, R$ 55.799 ,95000,Rio de Janeiro
 Land Rover Discovery Sport SI4 TURBO SE ,2018, R$ 173.499 ,51350,Rio de Janeiro
 Ford Ka + SIGMA SE ,2018, R$ 47.799 ,63400,Rio de Janeiro
 Volkswagen Polo 200 TSI COMFORTLINE ,2018, R$ 72.799 ,53786,Rio de Janeiro
 Audi A3 TFSI SEDAN ATTRACTION ,2016, R$ 81.799 ,58800,Rio de Janeiro
 Ford Fusion TITANIUM AWD ,2016, R$ 90.799 ,80680,Rio de Janeiro
 Mercedes Benz E 250 CGI AVANTGARDE ,2013, R$ 104.299 ,82200,Rio de Janeiro
 Chevrolet Cruze LT SPORT6 ,2013, R$ 55.499 ,93390,Rio de Janeiro
 Chevrolet Prisma MPFI LTZ ,2017, R$ 60.799 ,99600,Rio de Janeiro
 Volkswagen Tiguan 350 TSI ALLSPACE R-LINE ,2020, R$ 221.499 ,37130,Rio de Janeiro
 Chevrolet Tracker TURBO PREMIER ,2018, R$ 91.299 ,53100,Rio de Janeiro
 Ford Fusion TITANIUM AWD ,2015, R$ 80.299 ,106000,Rio de Janeiro
 Volkswagen Voyage MPI TOTAL TRENDLINE ,2017, R$ 45.299 ,107220,Rio de Janeiro
 Dodge Journey RT AWD V6 ,2017, R$ 92.799 ,70690,Rio de Janeiro
 Renault Duster DYNAMIQUE ,2017, R$ 63.299 ,96830,Rio de Janeiro
 Mercedes Benz E 250 AVANTGARDE TURBO ,2016, R$ 155.299 ,52273,Rio de Janeiro
 Chevrolet Onix MPFI ACTIV ,2019, R$ 68.799 ,9000,Rio de Janeiro
 Volkswagen Tiguan 250 TSI TOTAL COMFORTLINE ,2018, R$ 139.499 ,74235,Rio de Janeiro
 Mitsubishi ASX AWD ,2018, R$ 98.299 ,73090,Rio de Janeiro
 Chery Tiggo 5x VVT TXS ,2021, R$ 108.999 ,23569,Rio de Janeiro
 Hyundai ix35 MPFI GLS ,2015, R$ 77.299 ,60250,Rio de Janeiro
 Honda Hr-V TOURING ,2018, R$ 104.499 ,28090,Rio de Janeiro
 Volkswagen Polo MSI TOTAL ,2020, R$ 68.499 ,39890,Rio de Janeiro
 Honda City EXL ,2016, R$ 68.999 ,53670,Rio de Janeiro
 Mitsubishi ASX AUTOMATICO FLEX ,2018, R$ 94.999 ,22142,Rio de Janeiro
 Jeep Renegade STD ,2018, R$ 73.299 ,54000,Rio de Janeiro
 Audi Q3 TFSI AMBIENTE ,2016, R$ 105.999 ,98000,Rio de Janeiro
 Volkswagen Jetta TSI HIGHLINE ,2014, R$ 74.799 ,76310,Rio de Janeiro
 Volkswagen Jetta TSI COMFORTLINE ,2016, R$ 77.999 ,61160,Rio de Janeiro
 Jeep Compass LONGITUDE ,2017, R$ 98.999 ,97000,Rio de Janeiro
 Fiat Toro EVO FREEDOM AT6 ,2021, R$ 108.299 ,22320,Rio de Janeiro
 Volkswagen Golf TSI HIGHLINE ,2015, R$ 80.299 ,76400,Rio de Janeiro
 Mitsubishi Outlander AUTOMATICO GASOLINA ,2017, R$ 107.799 ,59100,Rio de Janeiro
 Nissan Kicks START S ,2020, R$ 88.999 ,30590,Rio de Janeiro
 Chery Arrizo 6 GSX ,2021, R$ 105.799 ,4200,Rio de Janeiro
 Jeep Renegade TURBO TRAILHAWK ,2016, R$ 99.799 ,97783,São Paulo
 Volkswagen Golf TSI HIGHLINE TOTAL ,2017, R$ 110.799 ,81110,São Paulo
 Hyundai Creta SMART ,2019, R$ 88.799 ,45984,São Paulo
 Hyundai ix35 MPFI GL ,2017, R$ 91.299 ,52610,São Paulo
 Lexus NX 300 DYNAMIC ,2018, R$ 166.799 ,76372,São Paulo
 Jeep Compass LIMITED ,2018, R$ 113.999 ,41860,São Paulo
 Volkswagen Golf TSI GTI TURBO ,2017, R$ 154.999 ,49407,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 70.999 ,81035,São Paulo
 Hyundai Santa Fé MPFI V6 ,2016, R$ 106.799 ,102070,São Paulo
 Ford Fusion SEL ,2017, R$ 92.299 ,99470,São Paulo
 Ford Fusion TITANIUM FWD ,2014, R$ 72.299 ,66170,São Paulo
 Chery Arrizo 6 GSX ,2021, R$ 105.299 ,18260,São Paulo
 Renault Duster DYNAMIQUE ,2017, R$ 65.799 ,80000,São Paulo
 Hyundai ix35 MPI ,2013, R$ 65.999 ,96015,São Paulo
 Volkswagen Crossfox MI ,2014, R$ 45.499 ,73000,São Paulo
 Hyundai ix35 AUTOMATICO FLEX ,2016, R$ 80.499 ,104890,São Paulo
 Jeep Renegade LONGITUDE ,2017, R$ 74.799 ,68096,São Paulo
 Hyundai Creta ATTITUDE ,2019, R$ 85.299 ,55231,São Paulo
 Volkswagen Golf TSI GTI TURBO ,2017, R$ 153.999 ,67683,São Paulo
 Ford Focus SE SEDAN ,2015, R$ 51.499 ,84400,São Paulo
 Jeep Compass LIMITED ,2018, R$ 113.299 ,61002,São Paulo
 Hyundai Creta SMART ,2019, R$ 89.299 ,30000,São Paulo
 Honda City DX ,2016, R$ 65.999 ,96060,São Paulo
 Jeep Renegade SPORT ,2017, R$ 70.799 ,68913,São Paulo
 Jeep Renegade TURBO LONGITUDE ,2018, R$ 109.799 ,44318,São Paulo
 Jeep Compass LONGITUDE ,2018, R$ 105.799 ,42920,São Paulo
 Ford Eco Sport SE ,2014, R$ 51.799 ,91092,São Paulo
 Volvo XC60 T5 MOMENTUM ,2016, R$ 107.499 ,95000,São Paulo
 Ford Eco Sport SE ,2017, R$ 60.999 ,66010,São Paulo
 Bmw 320i SPORT TURBO ACTIVE ,2018, R$ 153.299 ,46217,São Paulo
 Nissan Kicks START SV ,2018, R$ 82.999 ,72684,São Paulo
 Fiat Toro MULTIAIR FREEDOM ,2018, R$ 95.799 ,75090,São Paulo
 Mini Countryman S TURBO ,2014, R$ 91.999 ,105230,Rio de Janeiro
 Ford Fusion TITANIUM AWD ,2016, R$ 89.799 ,107550,São Paulo
 Honda Civic ONE EXL ,2017, R$ 101.999 ,55000,São Paulo
 Ford Fusion SEL ,2018, R$ 96.499 ,47270,São Paulo
 Jeep Renegade SPORT ,2017, R$ 69.799 ,98316,São Paulo
 Hyundai Creta ATTITUDE ,2018, R$ 83.299 ,55260,São Paulo
 Chevrolet Tracker TURBO PREMIER ,2018, R$ 90.799 ,72000,São Paulo
 Ford Eco Sport FREESTYLE ,2016, R$ 61.499 ,91355,São Paulo
 Renault Duster DYNAMIQUE ,2017, R$ 65.799 ,75400,São Paulo
 Peugeot 2008 GRIFFE ,2018, R$ 73.499 ,46800,São Paulo
 Bmw X1 TURBO ACTIVE SDRIVE20I ,2016, R$ 130.299 ,89028,Rio de Janeiro
 Hyundai Creta PRESTIGE ,2017, R$ 88.799 ,95249,São Paulo
 Hyundai Creta PULSE ,2017, R$ 83.999 ,63330,São Paulo
 Hyundai Creta SMART ,2019, R$ 89.499 ,25903,São Paulo
 Volkswagen Jetta COMFORTLINE ,2013, R$ 60.299 ,104710,São Paulo
 Ford Eco Sport FREESTYLE ,2017, R$ 65.499 ,58636,São Paulo
 Mini Cooper S TOP TURBO ,2017, R$ 129.499 ,71000,São Paulo
 Volkswagen Jetta TSI HIGHLINE ,2016, R$ 89.999 ,66370,São Paulo
 Jeep Compass LONGITUDE ,2017, R$ 125.499 ,58070,São Paulo
 Mitsubishi ASX AUTOMATICO FLEX ,2018, R$ 94.799 ,28900,São Paulo
 Ford Eco Sport FREESTYLE ,2017, R$ 63.999 ,84690,São Paulo
 Mercedes Benz GLC 250 CGI HIGHWAY 4MATIC ,2019, R$ 241.499 ,46447,São Paulo
 Chevrolet Tracker TURBO LT ,2018, R$ 83.499 ,58200,São Paulo
 Volkswagen Polo 200 TSI HIGHLINE ,2019, R$ 82.799 ,53560,Rio de Janeiro
 Honda City LX ,2020, R$ 84.499 ,43955,São Paulo
 Renault Captur BOSE ,2021, R$ 97.999 ,38050,São Paulo
 Volkswagen Jetta TSI TRENDLINE ,2016, R$ 70.799 ,81000,Rio de Janeiro
 Ford Eco Sport SE ,2017, R$ 62.299 ,61700,Rio de Janeiro
 Mitsubishi Outlander AUTOMATICO GASOLINA ,2016, R$ 92.799 ,85756,Rio de Janeiro
 Audi Q3 TFSI AMBIENTE ,2016, R$ 105.799 ,106200,Rio de Janeiro
 Nissan Kicks START S ,2019, R$ 84.499 ,22000,Rio de Janeiro
 Volkswagen Jetta TSI TRENDLINE ,2016, R$ 70.499 ,69000,Rio de Janeiro
 Volkswagen Gol MSI TOTAL ,2019, R$ 50.799 ,23770,Rio de Janeiro
 Honda Wr-V ONE EX ,2019, R$ 88.999 ,33000,Rio de Janeiro
 Fiat Bravo ESSENCE ,2014, R$ 39.999 ,87510,Rio de Janeiro
 Volkswagen Polo 200 TSI COMFORTLINE ,2018, R$ 72.799 ,48700,Rio de Janeiro
 Land Rover Discovery Sport SI4 TURBO SE ,2016, R$ 138.799 ,65000,Rio de Janeiro
 Hyundai HB20S COMFORT PLUS ,2017, R$ 59.299 ,48180,Rio de Janeiro
 Jeep Renegade LONGITUDE ,2016, R$ 72.299 ,36790,Rio de Janeiro
 Hyundai Creta PRESTIGE ,2017, R$ 88.999 ,88180,Rio de Janeiro
 Nissan Kicks START SL ,2017, R$ 81.799 ,82096,Rio de Janeiro
 Jeep Compass SPORT ,2017, R$ 92.499 ,50000,Rio de Janeiro
 Volkswagen Gol MI TRACK ,2014, R$ 38.299 ,95700,Rio de Janeiro
 Volkswagen Polo 200 TSI COMFORTLINE ,2019, R$ 76.499 ,42450,Rio de Janeiro
 Peugeot 2008 GRIFFE ,2018, R$ 72.499 ,74240,Rio de Janeiro
 Ford Eco Sport TITANIUM PLUS ,2013, R$ 51.499 ,87800,Rio de Janeiro
 Jeep Renegade SPORT ,2016, R$ 67.799 ,79760,Rio de Janeiro
 Ford Focus GHIA SEDAN ,2011, R$ 37.499 ,100570,Rio de Janeiro
 Volkswagen Gol MI CITY ,2014, R$ 33.799 ,81750,Rio de Janeiro
 Mercedes Benz GLC 250 CGI 4MATIC ,2017, R$ 222.799 ,71000,Rio de Janeiro
 Fiat Bravo ESSENCE ,2013, R$ 35.299 ,101000,Rio de Janeiro
 Jeep Renegade SPORT ,2016, R$ 68.299 ,55380,Rio de Janeiro
 Ford Focus TITANIUM SEDAN ,2015, R$ 56.999 ,50000,Rio de Janeiro
 Volvo XC60 T5 DYNAMIC FWD TURBO ,2013, R$ 69.999 ,78000,Rio de Janeiro
 Chevrolet Equinox TURBO PREMIER AWD ,2018, R$ 127.799 ,62710,Rio de Janeiro
 Ford Focus FC ,2011, R$ 32.499 ,103030,Rio de Janeiro
 Peugeot 2008 GRIFFE ,2017, R$ 62.799 ,82340,Rio de Janeiro
 Renault Duster DYNAMIQUE ,2017, R$ 66.799 ,48180,Rio de Janeiro
 Volkswagen Passat TSI BLUEMOTION HIGHLINE DSG ,2017, R$ 127.799 ,62000,Rio de Janeiro
 Jeep Renegade 1.8 FLEX ,2021, R$ 85.299 ,11000,Rio de Janeiro
 Volkswagen Jetta TSI TRENDLINE ,2016, R$ 71.499 ,53759,Rio de Janeiro
 Chery Arrizo 6 GSX ,2021, R$ 105.499 ,11880,Rio de Janeiro
 Dodge Journey RT V6 ,2011, R$ 50.999 ,102450,São Paulo
 Mercedes Benz GLA 200 CGI ADVANCE TURBO ,2016, R$ 114.299 ,91388,São Paulo
 Chevrolet Cruze TURBO LT ,2019, R$ 95.299 ,29290,São Paulo
 Volkswagen Golf TSI HIGHLINE TOTAL ,2016, R$ 93.299 ,71000,São Paulo
 Jeep Renegade SPORT ,2016, R$ 66.799 ,109338,São Paulo
 Suzuki Vitara TURBO 4SPORT ,2018, R$ 98.499 ,50439,São Paulo
 Hyundai Creta PRESTIGE ,2018, R$ 96.799 ,72412,São Paulo
 Renault Duster SCE AUTHENTIQUE ,2019, R$ 72.799 ,39869,São Paulo
 Volkswagen Passat Variant TSI ,2014, R$ 74.299 ,98999,São Paulo
 Volkswagen Jetta TSI HIGHLINE ,2017, R$ 95.999 ,100420,São Paulo
 Jeep Renegade SPORT ,2016, R$ 67.499 ,84130,Rio de Janeiro
 Hyundai HB20S PREMIUM ,2018, R$ 69.299 ,64000,São Paulo
 Volkswagen Jetta TSI HIGHLINE ,2014, R$ 74.299 ,89814,São Paulo
 Volkswagen Jetta TSI COMFORTLINE ,2017, R$ 83.799 ,56530,São Paulo
 Volkswagen Golf TSI VARIANT HIGHLINE TOTAL ,2017, R$ 90.299 ,89720,São Paulo
 Mitsubishi ASX AWD ,2015, R$ 75.999 ,66236,São Paulo
 Ford Eco Sport SE ,2017, R$ 61.999 ,69300,São Paulo
 Toyota Corolla GLI UPPER ,2017, R$ 83.299 ,71585,Rio de Janeiro
 Jeep Renegade SPORT ,2018, R$ 70.799 ,57494,São Paulo
 Volkswagen Jetta TSI HIGHLINE ,2016, R$ 88.999 ,94000,São Paulo
 Jeep Compass LONGITUDE ,2018, R$ 105.799 ,46000,São Paulo
 Mercedes Benz GLC 250 CGI HIGHWAY 4MATIC ,2019, R$ 243.299 ,28947,São Paulo
 Ford Eco Sport SE ,2014, R$ 51.799 ,94050,São Paulo
 Jeep Compass LONGITUDE ,2018, R$ 104.799 ,71520,São Paulo
 Toyota Corolla GLI ,2016, R$ 76.299 ,94350,São Paulo
 Mercedes Benz GLC 250 CGI HIGHWAY 4MATIC ,2019, R$ 242.999 ,31130,São Paulo
 Volkswagen Polo 200 TSI HIGHLINE ,2019, R$ 82.799 ,52000,São Paulo
 Volkswagen Jetta 250 TSI TOTAL ,2019, R$ 107.499 ,15510,São Paulo
 Volkswagen Passat TSI BLUEMOTION HIGHLINE DSG ,2018, R$ 139.799 ,49540,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 71.299 ,75312,São Paulo
 Volkswagen Jetta 250 TSI TOTAL R-LINE ,2019, R$ 122.299 ,59000,São Paulo
 Land Rover Discovery 4 S V6 BI-TURBO ,2013, R$ 124.299 ,105720,São Paulo
 Volkswagen Polo MPI TOTAL ,2019, R$ 60.799 ,46345,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 71.299 ,77570,São Paulo
 Honda Hr-V EXL ,2016, R$ 86.299 ,101490,São Paulo
 Nissan Kicks START SL ,2017, R$ 81.299 ,99558,São Paulo
 Jeep Renegade STD ,2018, R$ 72.499 ,73530,São Paulo
 Honda Civic TURBO TOURING ,2018, R$ 126.299 ,56200,São Paulo
 Chevrolet Tracker TURBO LT ,2018, R$ 83.299 ,64891,São Paulo
 Kia Sportage EX ,2019, R$ 128.799 ,43570,São Paulo
 Renault Duster DYNAMIQUE ,2016, R$ 60.799 ,73614,São Paulo
 Mini Countryman S ALL4 TURBO ,2016, R$ 131.799 ,86021,São Paulo
 Chevrolet Cruze LTZ ,2014, R$ 58.499 ,105141,São Paulo
 Fiat Toro MULTIAIR FREEDOM ,2017, R$ 91.999 ,36665,São Paulo
 Mini Countryman TWINPOWER TURBO COOPER S ALL4 ,2018, R$ 160.499 ,57996,São Paulo
 Peugeot 2008 ALLURE ,2017, R$ 57.999 ,92798,São Paulo
 Mercedes Benz GLE 400 V6 HIGHWAY COUPE 4MATIC ,2018, R$ 363.299 ,70537,São Paulo
 Land Rover Discovery Sport SI4 TURBO SE ,2019, R$ 211.999 ,33200,São Paulo
 Hyundai ix35 MPFI GLS ,2015, R$ 75.999 ,100260,São Paulo
 Jeep Renegade SPORT ,2017, R$ 70.299 ,79592,São Paulo
 Volkswagen Jetta 250 TSI TOTAL COMFORTLINE ,2018, R$ 101.499 ,66300,São Paulo
 Hyundai Creta PULSE ,2018, R$ 87.999 ,55882,São Paulo
 Bmw X1 TURBO ACTIVE SDRIVE20I ,2018, R$ 154.999 ,53127,São Paulo
 Jeep Renegade STD ,2018, R$ 73.299 ,52000,São Paulo
 Lifan X60 TALENT ,2016, R$ 46.299 ,78000,São Paulo
 Hyundai Azera MPFI GLS V6 ,2013, R$ 70.499 ,105999,Rio de Janeiro
 Fiat Toro TURBO VOLCANO 4WD ,2019, R$ 135.999 ,41000,São Paulo
 Volkswagen Passat TSI BLUEMOTION HIGHLINE DSG ,2017, R$ 127.499 ,69816,São Paulo
 Audi A3 TFSI SEDAN PRESTIGE PLUS ,2019, R$ 123.299 ,51000,Rio de Janeiro
 Jeep Renegade SPORT ,2016, R$ 67.299 ,88050,São Paulo
 Bmw X1 TURBO ACTIVE SDRIVE20I ,2015, R$ 91.999 ,65808,São Paulo
 Land Rover Discovery S SDV6 TURBO ,2015, R$ 159.499 ,76816,São Paulo
 Mercedes Benz GLC 250 CGI COUPE 4MATIC ,2019, R$ 353.299 ,40510,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 71.299 ,72548,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 71.799 ,61360,São Paulo
 Hyundai Creta ATTITUDE ,2017, R$ 80.999 ,67424,Rio de Janeiro
 Chevrolet S10 ADVANTAGE CD ,2016, R$ 88.799 ,96048,São Paulo
 Volvo XC60 T6 RD AWD TURBO ,2015, R$ 136.299 ,110500,São Paulo
 Fiat Toro EVO FREEDOM ,2019, R$ 96.799 ,49040,São Paulo
 Jeep Renegade LONGITUDE ,2018, R$ 78.299 ,59279,São Paulo
 Chevrolet Equinox TURBO LT ,2019, R$ 128.999 ,36060,São Paulo
 Hyundai ix35 MPFI ,2017, R$ 89.999 ,69297,São Paulo
 Mitsubishi ASX AUTOMATICO GASOLINA ,2016, R$ 77.499 ,62132,São Paulo
 Renault Duster DYNAMIQUE ,2017, R$ 65.499 ,89354,São Paulo
 Chevrolet Cruze LT ,2014, R$ 55.799 ,94000,São Paulo
 Toyota Corolla XEI ,2016, R$ 82.499 ,106667,São Paulo
 Jeep Compass LONGITUDE ,2017, R$ 100.999 ,46000,São Paulo
 Hyundai ix35 MPFI GLS ,2015, R$ 75.999 ,98750,São Paulo
 Ford Eco Sport FREESTYLE ,2015, R$ 56.299 ,87140,São Paulo
 Audi A3 TFSI SEDAN PERFORMANCE ,2019, R$ 167.299 ,40782,São Paulo
 Troller T4 TGV TURBO ,2018, R$ 163.299 ,60614,São Paulo
 Chevrolet Cruze LTZ SPORT6 ,2014, R$ 66.499 ,91445,São Paulo
 Mini Countryman S TURBO ,2014, R$ 92.299 ,92390,São Paulo
 Volkswagen Polo 200 TSI COMFORTLINE ,2018, R$ 71.999 ,73656,São Paulo
 Volkswagen Jetta COMFORTLINE ,2014, R$ 63.499 ,85156,São Paulo
