Modelo,Ano,Preço,KM,Estado
 Ford Eco Sport SE ,2015, R$ 55.799 ,110820,Minas Gerais
 Ford Eco Sport SE ,2017, R$ 62.499 ,51800,Minas Gerais
 Nissan Frontier TURBO LE CD ,2020, R$ 198.799 ,16090,Minas Gerais
 Mitsubishi ASX AUTOMATICO GASOLINA ,2016, R$ 76.999 ,79670,Minas Gerais
 Volkswagen Voyage MSI TOTAL ,2019, R$ 54.299 ,38773,Minas Gerais
 Chevrolet Cruze LTZ SPORT6 ,2014, R$ 65.999 ,108704,Minas Gerais
 Chevrolet Onix MPFI ACTIV ,2017, R$ 60.999 ,56091,Minas Gerais
 Volkswagen Gol MSI TOTAL ,2019, R$ 50.299 ,49480,Minas Gerais
 Toyota HILUX SW4 SRV 7L ,2019, R$ 187.299 ,52703,Minas Gerais
 Volkswagen Jetta TSI HIGHLINE ,2017, R$ 97.799 ,57090,Minas Gerais
 Ford Focus S SEDAN ,2015, R$ 53.499 ,105400,Minas Gerais
 Mitsubishi Outlander AUTOMATICO GASOLINA ,2015, R$ 72.999 ,92872,Minas Gerais
 Fiat Toro EVO FREEDOM ,2017, R$ 84.999 ,94800,Minas Gerais
 Ford Eco Sport FREESTYLE ,2017, R$ 65.299 ,67998,Minas Gerais
 Volkswagen Gol MSI TOTAL ,2019, R$ 50.499 ,45200,Minas Gerais
 Nissan Kicks START SL ,2017, R$ 81.799 ,82706,Minas Gerais
 Ford Eco Sport FREESTYLE ,2017, R$ 64.299 ,79250,Minas Gerais
 Volkswagen Gol MSI TOTAL ,2019, R$ 49.799 ,76250,Minas Gerais
 Honda City LX ,2016, R$ 66.799 ,75800,Minas Gerais
 Chevrolet Cruze LT ,2013, R$ 51.299 ,105684,Minas Gerais
 Ford Focus SE ,2014, R$ 48.999 ,72750,Minas Gerais
 Mitsubishi ASX AUTOMATICO GASOLINA ,2016, R$ 76.799 ,87384,Minas Gerais
 Mercedes Benz C 180 CGI AVANTGARDE ,2017, R$ 128.299 ,71789,Minas Gerais
